,t0,m0,mw,x,y,z,area,dt
221226,1009162734073.2415,5.1842310461661e+19,7.076456,575650.947876,5210354.440425,-14000.0,658002200.363722,22.2537841796875
221294,1009457751346.7107,9.490903654741749e+19,7.251538,1030250.849003,5902373.972192,-10500.0,1218701972.04829,27.27099609375
221304,1009507969974.5258,9.7058888033415e+20,7.92469,512961.269106,5241800.196484,-13500.0,8475140485.269711,199.1905517578125
221362,1009756609673.4045,5.494361019362386e+19,7.093278,1028866.465408,5884232.835474,-12000.0,616051670.489927,14.621826171875
221519,1010451572283.568,3.010114912546005e+20,7.585722,721808.26037,5335943.665057,-13090.909091,2624583622.597474,41.4559326171875
221839,1012001844441.6163,5.041593782505392e+19,7.068379,551819.181215,5261620.385084,-12000.0,632460480.532783,14.2008056640625
221870,1012110943118.7416,4.893616643854864e+19,7.059753,1052915.884178,5893187.861655,-3750.0,542916129.594933,12.247802734375
221938,1012392338147.2708,4.221107967926623e+19,7.016951,1001965.202377,5882883.124035,-5250.0,565595930.003397,14.999755859375
222070,1013057477756.534,5.655725191266625e+19,7.101659,591530.619721,5273725.07154,-6000.0,619233039.003725,21.006591796875
222090,1013164070048.913,2.0850946132319473e+20,7.479417,142017.677895,4977359.937159,-7714.285714,1901761086.726215,56.183837890625
222097,1013191615753.3173,1.7344435031902142e+20,7.426107,652303.996199,5286878.99023,-13000.0,1554428839.700938,37.28662109375
222120,1013273388670.7511,4.691156496033076e+19,7.04752,1047679.620871,5652967.589607,-5236.363636,465241118.252577,19.49658203125
222158,1013426668363.8737,5.171757235417467e+19,7.075759,779753.832605,5396624.825848,-17298.701299,929387883.09643,28.0380859375
222248,1013942449502.465,9.513396984515119e+19,7.252224,645024.626934,5304547.310011,-7000.0,1208006944.128213,38.1103515625
222310,1014190531787.748,4.481643239357935e+19,7.034292,780697.418886,5380697.597018,-10800.0,617349885.955476,21.1727294921875
222470,1014836020600.2922,1.062372956511287e+21,7.950851,510516.123399,5241267.910286,-11700.0,8611292090.06615,186.84033203125
222475,1014864619930.7332,5.927243056573422e+19,7.115235,865739.801828,5560084.615715,-10800.0,510511883.662191,19.855712890625
222677,1015855241205.6248,8.416079734414449e+19,7.21674,542932.561747,5266558.106263,-9900.0,1091695961.333504,29.5753173828125
222748,1016202576232.6112,2.962682664396787e+21,8.24779,22195.665298,4424592.954127,-17000.0,16506462876.748365,177.780029296875
222813,1016450580892.7249,1.4045584554160998e+20,7.365027,608837.13788,5311280.624347,-12000.0,1622387611.735801,58.9420166015625
222934,1016841016588.0104,5.2895864054226256e+19,7.082281,574740.21235,5272315.10448,-13000.0,769142617.872132,24.9278564453125
222939,1016851148138.4324,7.174029755637913e+19,7.170509,572880.874393,5216744.225987,-13500.0,742031745.048863,22.3292236328125
222956,1016889247464.6361,4.717072815744814e+19,7.049115,821363.5363,5377079.094788,-7454.545455,733829993.969206,23.529541015625
223199,1017860710527.3048,1.5241126808689576e+22,8.722011,946374.719985,5523811.54305,-17610.38961,45057724586.19338,152.8521728515625
223293,1018152740700.7091,4.054321575939959e+20,7.671945,225544.560759,5055183.794205,-9857.142857,2479857170.773454,46.4659423828125
