,t0,m0,mw,x,y,z,area,dt
13977,111451820359.68005,3.056200973866281e+20,7.590121,512961.269106,5241800.196484,-13500.0,2682799654.092417,103.83024597167969
14290,113182462072.42451,6.9693708561514185e+19,7.162129,568755.372483,5279734.157312,-11700.0,620290366.100043,31.621429443359375
14362,113607262116.82085,5.160484525955993e+19,7.075127,998310.716459,5778585.997651,-9750.0,667870867.08567,34.493377685546875
14374,113668514757.5442,1.6488402317277073e+20,7.411452,608754.357743,5283407.568674,-11000.0,1389229634.057883,38.92869567871094
14485,114420897399.18135,4.020745402650506e+20,7.669538,773028.702168,5375287.190591,-9818.181818,3009151179.809937,78.491455078125
14491,114425866141.41837,2.0603294077996644e+22,8.809291,775038.874117,5400177.801913,-18233.766234,44240335013.63291,235.80555725097656
14497,114425867526.13863,3.2800112612321395e+20,7.610584,866682.549406,5529786.671865,-11700.0,2030342114.417881,59.8216552734375
14633,115247953701.0169,5.97379267052956e+19,7.1175,653098.233034,5227551.798833,-12272.727273,382293013.324801,21.391525268554688
14735,116004180265.39693,8.131463440936776e+19,7.206779,1050251.375021,5896663.959439,-9000.0,796023099.671356,27.002639770507812
14823,116597819881.88644,1.772021418267908e+21,8.098979,421432.259183,5179307.452786,-13500.0,7572564326.305422,140.82264709472656
14827,116604873582.87563,2.547333289745303e+20,7.537391,174662.26663,4951221.731347,-18000.0,1978820291.726237,43.30851745605469
14911,117469992101.26175,4.482814084378587e+19,7.034367,974873.807073,5622672.697362,-14000.0,447750169.191554,20.108749389648438
15111,118665149718.15047,2.9027043031567434e+20,7.575202,612253.358295,5311846.681356,-12000.0,1668510663.601969,55.34417724609375
15119,118714176051.38437,1.6285595459534324e+20,7.407869,512201.312683,5241879.479746,-12600.0,1269649266.10262,49.1845703125
15123,118724419591.74893,9.928961276243368e+19,7.264603,538818.082614,5256855.739512,-12000.0,932329016.759238,38.02178955078125
15280,119844792112.06218,2.5169740746668068e+20,7.533919,651167.222709,5286678.00497,-13000.0,1476586722.779025,46.34526062011719
15397,120568012774.49417,6.379177078592004e+19,7.13651,581681.756117,5281437.473379,-13000.0,568991175.978201,24.774749755859375
15499,121243508375.1535,6.60699607146774e+19,7.146669,919891.171566,5417008.184657,-4618.181818,646018806.163023,31.535995483398438
15526,121449035982.90546,4.6181572355503915e+20,7.709646,729128.621132,5396553.172351,-14000.0,2599765312.038136,62.42997741699219
15599,121934374443.2563,1.5592926859634563e+20,7.395285,579276.456929,5286840.325677,-11700.0,1049122120.681159,29.41790771484375
15723,122623328603.94254,7.85725371100447e+19,7.196847,134541.394033,4971198.068798,-8142.857143,636078729.999338,48.2579345703125
15778,122912109305.38042,1.5636359417600252e+20,7.39609,598021.670904,5212898.06537,-9000.0,1232017998.361888,44.23945617675781
15852,123375799722.23602,1.3131254746766416e+21,8.012204,137610.967296,4911162.158398,-19500.0,5829006115.467379,108.42436218261719
15854,123375800151.79877,4.911758162149213e+20,7.727491,145255.848032,4840459.183501,-12600.0,1931263783.209169,70.70133972167969
15891,123686655057.60954,1.4919649228294675e+20,7.382506,194182.069041,5008093.763739,-6300.0,1165847241.643302,51.64872741699219
16192,125429852772.07393,1.4288518947621765e+21,8.036658,511009.156448,5243582.055298,-9000.0,7517563662.121418,223.5620880126953
16249,125731523946.02823,6.031587126895494e+19,7.120288,624354.904448,5284316.096312,-10000.0,690763167.522499,27.286911010742188
16257,125788022648.87666,4.4620803479092126e+21,8.366358,73620.01193,4671834.980663,-19500.0,16646266712.722889,154.80984497070312
16272,125888143906.2792,2.3199406238995893e+20,7.510318,774536.162035,5375403.611375,-8181.818182,1890627018.728069,86.29629516601562
16288,125995263564.10371,1.8496020664895318e+20,7.444719,817780.600203,5345977.987792,-12272.727273,1218850785.712256,69.40383911132812
16324,126228188214.39519,5.836775221698348e+19,7.110782,591530.619721,5273725.07154,-12000.0,595119747.693213,42.09242248535156
16332,126274849256.08904,3.591642824966444e+20,7.636862,810215.612205,5375753.288032,-11532.467532,3132603740.264748,54.282501220703125
16428,126931918327.84164,4.255549979646517e+19,7.019304,586604.276224,5275165.569631,-6000.0,418578581.641642,17.292510986328125
16476,127229112772.79535,4.007240546154072e+20,7.668564,399218.548329,5076254.701766,-13153.846154,1681815794.342679,65.55253601074219
16497,127432212699.57115,7.565296984599008e+19,7.185884,869646.030699,5558662.864678,-3600.0,495050342.77557,29.9910888671875
16506,127477659761.1399,4.2033320988279236e+20,7.682396,177177.58752,5011704.412608,-7364.53202,2116144380.429653,53.75639343261719
16538,127686699954.19955,3.40480370309148e+20,7.621395,431595.84194,4859633.065622,-13153.846154,1586959462.98958,62.07763671875
16585,127949992655.61024,2.086084927509908e+20,7.479555,652303.996199,5286878.99023,-13000.0,1472423970.153855,58.88063049316406
16682,128513720129.83565,1.9357983228136315e+20,7.457907,479031.956458,5161807.683221,-10800.0,1016326092.341197,52.421051025390625
16753,128943670993.56154,1.2733470988606126e+20,7.336631,580162.478054,5262534.180732,-3000.0,838658410.60281,32.98323059082031
16851,129459160918.38713,9.090772787276489e+19,7.239067,784297.418886,5378619.136049,-3600.0,803242596.708781,37.652618408203125
